COUNTRY,Country Code,2014EPI,2015EPI,2016EPI,2017EPI,2018EPI,2019EPI,2020EPI,2021EPI,2022EPI
Algeria,DZA,50.074,60.74175,70.285,64.4355,57.184,50.972,44.76,36.2661619,29.614
Angola,AGO,28.69,40.09325,51.32,44.03675,37.444,33.572,29.7,28.2666426,30.438
Argentina,ARG,49.552,65.515,79.84,69.6945,59.3,55.73,52.16,45.03289003,41.088
Australia,AUS,82.394,84.94275,87.22,81.0875,74.118,74.519,74.92,65.57638143,60.09
Austria,AUT,78.326,83.0705,86.64,83.12525,78.97,79.285,79.6,69.42908521,66.492
Azerbaijan,AZE,55.47,69.8285,83.78,72.52275,62.332,54.416,46.5,40.62708804,38.62
Bangladesh,BGD,25.608,33.96,41.77,35.00125,29.558,29.309,29.06,24.75764891,23.112
Belarus,BLR,67.692,75.29975,82.305,73.5815,64.984,59.002,53.02,47.39204529,48.536
Belgium,BEL,66.612,74.40325,80.155,79.32075,77.382,75.331,73.28,63.13145624,58.176
Benin,BEN,32.42,38.07175,43.66,40.78325,38.166,34.063,29.96,28.15925,29.6
Bolivia,BOL,50.482,60.53675,71.085,63.378,55.982,50.111,44.24,39.78495768,40.132
Botswana,BWA,47.604,59.681,70.72,60.522,51.698,46.029,40.36,44.35290964,54.026
Brazil,BRA,52.966,66.326,78.905,69.6725,60.702,55.951,51.2,44.70080697,43.632
Bulgaria,BGR,64.01,74.556,83.4,75.608,67.848,62.434,57.02,50.79419394,51.924
Cambodia,KHM,35.44,43.263,51.235,46.71175,43.23,38.395,33.56,29.79521439,30.124
Cameroon,CMR,36.688,47.0785,57.125,49.03325,40.812,37.196,33.58,31.37732287,30.172
Canada,CAN,73.134,79.6225,85.055,79.16725,72.178,71.619,71.06,61.31370008,49.946
Chile,CHL,69.932,73.835,77.67,67.47775,57.488,56.364,55.24,48.36891037,46.708
China,CHN,43.006,54.326,65.1,57.412,50.74,44.05,37.36,31.01683521,28.402
Colombia,COL,50.776,63.67425,75.93,70.5035,65.218,59.089,52.96,45.36304705,42.368
Costa Rica,CRI,58.53,69.72775,80.03,73.74375,67.854,60.187,52.52,46.57230095,46.338
Czech Republic,CZE,81.462,83.641,84.67,76.411,67.682,69.371,71.06,61.82467532,59.854
Denmark,DNK,76.916,83.6685,89.205,85.839,81.598,82.059,82.52,74.81350824,77.958
Dominican Republic,DOM,53.238,64.76125,75.32,69.84175,64.71,55.535,46.36,41.66959765,42.226
Ecuador,ECU,58.548,62.233,66.58,61.67925,57.418,54.199,50.98,45.57203444,46.46
Egypt,EGY,61.112,63.95325,66.45,63.96325,61.212,52.276,43.34,37.48065783,35.484
El Salvador,SLV,43.786,56.376,68.065,60.94825,53.91,48.505,43.1,39.01276504,40.796
Ethiopia,ETH,39.428,42.894,45.825,45.2475,44.782,39.611,34.44,31.30619388,31.774
Finland,FIN,75.716,83.859,90.68,85.1945,78.638,78.769,78.9,72.76216245,76.488
France,FRA,71.046,80.597,88.205,86.47925,83.95,81.965,79.98,68.5912097,62.47
Germany,DEU,80.47,82.86275,84.265,81.72825,78.372,77.776,77.18,66.84328416,62.392
Ghana,GHA,32.072,46.04525,58.89,54.27675,49.658,38.629,27.6,25.96965292,27.718
Greece,GRC,73.276,80.129,85.815,80.27,73.6,71.34,69.08,59.64608256,56.242
Guatemala,GTM,48.064,59.2625,69.635,60.98525,52.33,42.075,31.82,28.02522251,27.946
Haiti,HTI,19.012,31.5615,43.28,38.6545,33.744,30.382,27.02,24.8662902,26.12
Honduras,HND,48.874,59.38975,69.64,60.52975,51.504,44.642,37.78,34.49136339,36.478
Hungary,HUN,70.278,78.351,84.595,74.631,65.008,64.324,63.64,55.80172924,55.098
India,IND,31.228,42.76525,53.58,41.47,30.572,29.106,27.64,22.74650337,18.852
Indonesia,IDN,44.356,55.028,65.85,55.773,46.916,42.368,37.82,31.60272855,28.198
Ireland,IRL,74.67,81.08775,86.605,82.95325,78.772,75.806,72.84,64.04961503,57.354
Israel,ISR,65.786,73.0145,78.14,77.30575,75.006,70.423,65.84,56.47839146,48.174
Italy,ITA,74.362,79.802,84.485,81.17875,76.964,73.972,70.98,61.61027928,57.72
Japan,JPN,72.352,77.09775,80.585,78.097,74.684,74.932,75.18,64.4288102,57.188
Jordan,JOR,55.78,64.671,72.24,68.018,62.198,57.789,53.38,45.97364612,43.63
Kazakhstan,KAZ,51.07,62.4345,73.285,63.66975,54.556,49.628,44.7,40.02281805,40.964
Kenya,KEN,36.99,49.99475,62.495,54.89125,47.256,40.948,34.64,31.04446978,30.792
Kuwait,KWT,63.946,64.73025,64.41,63.658,62.282,57.961,53.64,45.73532757,42.356
Malaysia,MYS,59.306,67.4525,74.23,66.53475,59.22,53.56,47.9,40.08157846,35.056
Mexico,MEX,55.028,64.73525,73.595,66.70875,59.692,56.116,52.54,45.91712212,45.516
Morocco,MAR,51.89,63.51025,74.185,68.985,63.464,52.882,42.3,34.10798104,28.354
Mozambique,MOZ,29.972,36.48825,41.82,44.62175,46.366,40.143,33.92,30.8380459,31.684
Myanmar,MMR,27.44,38.64925,48.98,46.603,45.32,35.2,25.08,21.12322064,19.378
Nepal,NPL,36.998,43.5845,50.21,40.1585,31.444,32.072,32.7,29.14898579,28.328
Netherlands,NLD,77.754,80.43875,82.03,79.40125,75.454,75.367,75.28,65.94689676,62.57
New Zealand,NZL,76.412,82.195,88,82.32375,75.962,73.641,71.32,62.71041571,56.65
Nicaragua,NIC,50.318,57.247,64.195,59.508,55.042,47.141,39.24,35.69901829,37.708
Nigeria,NGA,39.198,48.7825,58.27,56.023,54.76,42.88,31,28.92781306,28.274
Norway,NOR,78.038,82.81475,86.9,82.49775,77.49,77.585,77.68,67.62570884,59.314
Oman,OMN,47.744,54.56,60.13,55.9865,51.32,44.9,38.48,33.01947919,30.686
Pakistan,PAK,34.586,43.11225,51.42,43.532,37.5,35.26,33.02,28.67448115,24.578
Panama,PAN,56.834,67.49975,78,70.12275,62.706,54.993,47.28,44.94818067,50.48
Paraguay,PRY,39.254,55.092,70.36,61.77975,53.93,50.185,46.44,41.18171702,40.956
Peru,PER,45.044,59.17525,72.95,66.934,61.914,52.937,43.96,39.33337902,39.84
Philippines,PHL,44.014,59.47925,73.705,65.522,57.65,48.065,38.48,32.19643808,28.854
Poland,POL,69.53,75.711,81.26,72.49875,64.116,62.528,60.94,52.59385989,50.544
Portugal,PRT,75.8,82.75125,88.625,80.64275,71.906,69.463,67.02,57.71058921,50.44
Qatar,QAT,63.028,67.731,69.945,69.29425,67.796,52.448,37.1,34.3438,33
Romania,ROU,50.516,67.45,83.235,73.85425,64.778,64.709,64.64,57.00901414,56.002
Russia,RUS,53.448,69.1725,83.52,73.96325,63.786,57.133,50.48,42.69837216,37.558
Saudi Arabia,SAU,66.654,68.3395,68.625,63.51825,57.474,50.717,43.96,38.48816283,37.938
Senegal,SEN,40.832,52.6165,63.73,56.7105,49.518,40.119,30.72,30.26834423,33.912
Serbia,SRB,69.132,73.98,78.665,67.997,57.49,56.365,55.24,46.95187005,43.906
Singapore,SGP,81.782,85.034,87.045,75.85275,64.232,61.176,58.12,53.0115271,50.92
Slovakia,SVK,74.444,80.57475,85.42,77.81025,70.596,69.428,68.26,60.16816311,59.976
South Africa,ZAF,53.516,61.95325,70.52,56.988,44.73,43.885,43.04,38.04658014,37.142
Spain,ESP,79.786,84.80575,88.905,84.02525,78.394,76.357,74.32,63.28849082,56.64
Sri Lanka,LKA,53.876,60.0015,65.545,62.97075,60.608,49.794,38.98,34.59398138,34.674
Sudan,SDN,24.636,33.56125,42.25,46.4445,51.494,43.137,34.78,30.14156155,27.548
Sweden,SWE,78.088,84.789,90.43,85.70525,80.508,79.614,78.72,71.62719953,72.724
Switzerland,CHE,87.678,87.65225,86.935,87.5915,87.42,84.46,81.5,70.8465694,65.954
Tajikistan,TJK,31.338,53.05175,73.055,59.63425,47.848,43.034,38.22,36.15952097,37.088
Tanzania,TZA,36.19,47.807,58.34,54.89475,50.826,40.943,31.06,30.13159734,34.238
Thailand,THA,52.834,61.84475,69.535,59.45175,49.882,47.671,45.46,39.47069885,38.106
Togo,TGO,27.906,37.36475,46.1,43.95175,41.784,35.632,29.48,29.96467141,33.974
Tunisia,TUN,58.99,68.869,77.28,70.40425,62.346,54.513,46.68,40.88726836,40.728
Turkey,TUR,54.908,61.48725,67.68,60.50175,52.966,47.813,42.66,35.4904841,26.256
Ukraine,UKR,49.006,65.23875,79.685,66.45775,52.872,51.206,49.54,45.67538868,49.666
United Arab Emirates,ARE,72.916,71.674,69.355,64.39975,58.904,57.262,55.62,50.10819649,52.368
United Kingdom,GBR,77.352,82.931,87.385,83.98675,79.89,80.575,81.26,73.83319175,77.716
United States,USA,67.522,76.68725,84.72,78.41625,71.188,70.244,69.3,59.14862748,51.084
Uruguay,URY,53.61,64.235,73.98,69.07625,64.65,56.875,49.1,43.44024795,37.436
Uzbekistan,UZB,43.224,53.725,63.67,54.2345,45.882,45.111,44.34,39.35718136,38.214
Venezuela,VEN,57.806,67.39225,76.225,70.302,63.89,57.115,50.34,45.17337032,46.418
Vietnam,VNM,38.168,48.44125,58.5,52.2515,46.964,40.152,33.34,27.18773188,20.14
Zambia,ZMB,41.718,53.98475,66.06,58.035,50.974,42.857,34.74,34.45889268,38.412
